Date,Open,High,Low,Close,Vol,OI
8/31/2021,40.15,40.15,40.15,40.15,0,0
9/1/2021,40.15,40.15,40.15,40.15,0,0
9/2/2021,40.15,40.15,40.15,40.15,0,0
9/3/2021,40.15,40.15,40.15,40.15,0,0
9/7/2021,40.15,40.15,40.15,40.15,0,0
9/8/2021,40.15,40.15,40.15,40.15,0,0
9/9/2021,40.15,40.15,40.15,40.15,0,0
9/10/2021,40.15,40.15,40.15,40.15,0,0
9/13/2021,40.15,40.15,40.15,40.15,0,0
9/14/2021,40.15,40.15,40.15,40.15,0,0
9/15/2021,40.15,40.15,40.15,40.15,0,0
9/16/2021,40.15,40.15,40.15,40.15,0,0
9/17/2021,40.15,40.15,40.15,40.15,0,0
9/20/2021,40.15,40.15,40.15,40.15,0,0
9/21/2021,40.15,40.15,40.15,40.15,0,0
9/22/2021,40.15,40.15,40.15,40.15,0,0
9/23/2021,40.15,40.15,40.15,40.15,0,0
9/24/2021,40.15,40.15,40.15,40.15,0,0
9/27/2021,40.15,40.15,40.15,40.15,0,0
9/28/2021,40.15,40.15,40.15,40.15,0,0
9/29/2021,40.15,40.15,40.15,40.15,0,0
9/30/2021,40.15,40.15,40.15,40.15,0,0
10/1/2021,40.15,40.15,40.15,40.15,0,0
10/4/2021,40.15,40.15,40.15,40.15,0,0
10/5/2021,40.15,40.15,40.15,40.15,0,0
10/6/2021,40.15,40.15,40.15,40.15,0,0
10/7/2021,40.15,40.15,40.15,40.15,0,0
10/8/2021,40.15,40.15,40.15,40.15,0,0
10/11/2021,40.15,40.15,40.15,40.15,0,0
10/12/2021,40.15,40.15,40.15,40.15,0,0
10/13/2021,40.15,40.15,40.15,40.15,0,0
10/14/2021,40.15,40.15,40.15,40.15,0,0
10/15/2021,40.15,40.15,40.15,40.15,0,0
10/18/2021,40.15,40.15,40.15,40.15,0,0
10/19/2021,40.15,40.15,40.15,40.15,0,0
10/20/2021,40.15,40.15,40.15,40.15,0,0
10/21/2021,40.15,40.15,40.15,40.15,0,0
10/22/2021,40.15,40.15,40.15,40.15,0,0
10/25/2021,40.15,40.15,40.15,40.15,0,0
10/26/2021,40.15,40.15,40.15,40.15,0,0
10/27/2021,40.15,40.15,40.15,40.15,0,0
10/28/2021,40.15,40.15,40.15,40.15,0,0
10/29/2021,40.15,40.15,40.15,40.15,0,0
11/1/2021,40.15,40.15,40.15,40.15,0,0
11/2/2021,40.15,40.15,40.15,40.15,0,0
11/3/2021,40.15,40.15,40.15,40.15,0,0
11/4/2021,40.15,40.15,40.15,40.15,0,0
11/5/2021,40.15,40.15,40.15,40.15,0,0
11/8/2021,40.15,40.15,40.15,40.15,0,0
11/9/2021,40.15,40.15,40.15,40.15,0,0
11/10/2021,40.15,40.15,40.15,40.15,0,0
11/11/2021,40.15,40.15,40.15,40.15,0,0
11/12/2021,40.15,40.15,40.15,40.15,0,0
11/15/2021,40.15,40.15,40.15,40.15,0,0
11/16/2021,40.15,40.15,40.15,40.15,0,0
11/17/2021,40.15,40.15,40.15,40.15,0,0
11/18/2021,40.15,40.15,40.15,40.15,0,0
11/19/2021,40.15,40.15,40.15,40.15,0,0
11/22/2021,40.15,40.15,40.15,40.15,0,0
11/23/2021,40.15,40.15,40.15,40.15,0,0
11/24/2021,40.15,40.15,40.15,40.15,0,0
11/29/2021,40.15,40.15,40.15,40.15,0,0
11/30/2021,40.15,40.15,40.15,40.15,0,0
12/1/2021,40.15,40.15,40.15,40.15,0,0
12/2/2021,40.15,40.15,40.15,40.15,0,0
12/3/2021,40.15,40.15,40.15,40.15,0,0
12/6/2021,40.15,40.15,40.15,40.15,0,0
12/7/2021,40.15,40.15,40.15,40.15,0,0
12/8/2021,40.15,40.15,40.15,40.15,0,0
12/9/2021,40.15,40.15,40.15,40.15,0,0
12/10/2021,40.15,40.15,40.15,40.15,0,0
12/13/2021,40.15,40.15,40.15,40.15,0,0
12/14/2021,40.15,40.15,40.15,40.15,0,0
