Date,Open,High,Low,Close,Vol,OI
6/30/2020,99.995,99.995,99.995,99.995,0,0
7/1/2020,99.99,99.99,99.99,99.99,0,0
7/2/2020,99.995,99.995,99.995,99.995,0,0
7/6/2020,99.99,99.99,99.99,99.99,0,0
7/7/2020,100.0,100.0,100.0,100.0,0,0
7/8/2020,100.01,100.01,100.01,100.01,0,0
7/9/2020,100.015,100.015,100.015,100.015,0,0
7/10/2020,100.02,100.02,100.02,100.02,0,0
7/13/2020,100.01,100.01,100.01,100.01,0,0
7/14/2020,100.015,100.015,100.015,100.015,0,0
7/15/2020,100.005,100.005,100.005,100.005,0,0
7/16/2020,100.01,100.01,100.01,100.01,0,0
7/17/2020,100.005,100.005,100.005,100.005,0,0
7/20/2020,100.005,100.005,100.005,100.005,0,0
7/21/2020,100.01,100.01,100.01,100.01,0,0
7/22/2020,100.015,100.015,100.015,100.015,0,0
7/23/2020,100.015,100.015,100.015,100.015,0,0
7/24/2020,100.015,100.015,100.015,100.015,0,0
7/27/2020,100.005,100.005,100.005,100.005,0,0
7/28/2020,100.015,100.015,100.015,100.015,0,0
7/29/2020,100.02,100.02,100.02,100.02,0,0
7/30/2020,100.035,100.035,100.035,100.035,0,0
7/31/2020,100.045,100.045,100.045,100.045,0,0
8/3/2020,100.05,100.05,100.05,100.05,0,0
8/4/2020,100.05,100.05,100.05,100.05,0,0
8/5/2020,100.035,100.035,100.035,100.035,0,0
8/6/2020,100.035,100.035,100.035,100.035,0,0
8/7/2020,100.015,100.015,100.015,100.015,0,0
8/10/2020,100.005,100.005,100.005,100.005,0,0
8/11/2020,99.975,99.975,99.975,99.975,0,0
8/12/2020,99.975,99.975,99.975,99.975,0,0
8/13/2020,99.99,99.99,99.99,99.99,0,0
8/14/2020,99.99,99.99,99.99,99.99,0,0
8/17/2020,99.99,99.99,99.99,99.99,0,0
8/18/2020,99.995,99.995,99.995,99.995,0,0
8/19/2020,100.005,100.005,100.005,100.005,0,0
8/20/2020,100.005,100.005,100.005,100.005,0,0
8/21/2020,99.995,99.995,99.995,99.995,0,0
8/24/2020,99.99,99.99,99.99,99.99,0,0
8/25/2020,99.98,99.98,99.98,99.98,0,0
8/26/2020,99.975,99.975,99.975,99.975,0,0
8/27/2020,99.965,99.965,99.965,99.965,0,0
8/28/2020,99.985,99.985,99.985,99.985,0,0
8/31/2020,99.985,99.985,99.985,99.985,0,0
9/1/2020,99.99,99.99,99.99,99.99,0,0
9/2/2020,99.985,99.985,99.985,99.985,0,0
9/3/2020,99.995,99.995,99.995,99.995,0,0
9/4/2020,99.975,99.975,99.975,99.975,0,0
9/8/2020,99.985,99.985,99.985,99.985,0,0
9/9/2020,99.98,99.98,99.98,99.98,0,0
9/10/2020,99.99,99.99,99.99,99.99,0,0
9/11/2020,100.005,100.005,100.005,100.005,0,0
9/14/2020,100.0,100.0,100.0,100.0,0,0
9/15/2020,99.995,99.995,99.995,99.995,0,0
9/16/2020,99.985,99.985,99.985,99.985,0,0
9/17/2020,99.99,99.99,99.99,99.99,0,0
9/18/2020,99.985,99.985,99.985,99.985,0,0
9/21/2020,99.985,99.985,99.985,99.985,0,0
9/22/2020,99.995,99.995,99.995,99.995,0,0
9/23/2020,99.985,99.985,99.985,99.985,0,0
9/24/2020,99.985,99.985,99.985,99.985,0,0
9/25/2020,99.985,99.985,99.985,99.985,0,0
9/28/2020,99.98,99.98,99.98,99.98,0,0
9/29/2020,99.98,99.98,99.98,99.98,0,0
9/30/2020,99.98,99.98,99.98,99.98,0,0
10/1/2020,99.98,99.98,99.98,99.98,0,0
10/2/2020,99.98,99.98,99.98,99.98,0,0
10/5/2020,99.96,99.96,99.96,99.96,0,0
10/6/2020,99.96,99.96,99.96,99.96,0,0
10/7/2020,99.95,99.95,99.95,99.95,0,0
10/8/2020,99.945,99.945,99.945,99.945,0,0
10/9/2020,99.945,99.945,99.945,99.945,0,0
10/12/2020,99.94,99.94,99.94,99.94,0,0
10/13/2020,99.95,99.95,99.95,99.95,0,0
10/14/2020,99.95,99.95,99.95,99.95,0,0
10/15/2020,99.95,99.95,99.95,99.95,0,0
10/16/2020,99.945,99.945,99.945,99.945,0,0
10/19/2020,99.945,99.945,99.945,99.945,0,0
10/20/2020,99.94,99.94,99.94,99.94,0,0
10/21/2020,99.935,99.935,99.935,99.935,0,0
10/22/2020,99.93,99.93,99.93,99.93,0,0
10/23/2020,99.935,99.935,99.935,99.935,0,0
10/26/2020,99.945,99.945,99.945,99.945,0,0
10/27/2020,99.945,99.945,99.945,99.945,0,0
10/28/2020,99.945,99.945,99.945,99.945,0,0
10/29/2020,99.94,99.94,99.94,99.94,0,0
10/30/2020,99.935,99.935,99.935,99.935,0,0
11/2/2020,99.92,99.92,99.92,99.92,0,0
11/3/2020,99.915,99.915,99.915,99.915,0,0
11/4/2020,99.94,99.94,99.94,99.94,0,0
11/5/2020,99.93,99.93,99.93,99.93,0,0
11/6/2020,99.915,99.915,99.915,99.915,0,0
11/9/2020,99.875,99.875,99.875,99.875,0,0
11/10/2020,99.88,99.88,99.88,99.88,0,0
11/11/2020,99.88,99.88,99.88,99.88,0,0
11/12/2020,99.885,99.885,99.885,99.885,0,0
11/13/2020,99.88,99.88,99.88,99.88,0,0
11/16/2020,99.88,99.88,99.88,99.88,0,0
11/17/2020,99.88,99.88,99.88,99.88,0,0
11/18/2020,99.875,99.875,99.875,99.875,0,0
11/19/2020,99.88,99.88,99.88,99.88,0,0
11/20/2020,99.88,99.88,99.88,99.88,0,0
11/23/2020,99.875,99.875,99.875,99.875,0,0
11/24/2020,99.875,99.875,99.875,99.875,0,0
11/25/2020,99.875,99.875,99.875,99.875,0,0
11/27/2020,99.88,99.88,99.88,99.88,0,0
11/30/2020,99.88,99.88,99.88,99.88,0,0
12/1/2020,99.86,99.86,99.86,99.86,0,0
12/2/2020,99.855,99.855,99.855,99.855,0,0
12/3/2020,99.86,99.86,99.86,99.86,0,0
12/4/2020,99.85,99.85,99.85,99.85,0,0
12/7/2020,99.86,99.86,99.86,99.86,0,0
12/8/2020,99.855,99.855,99.855,99.855,0,0
12/9/2020,99.85,99.85,99.85,99.85,0,0
12/10/2020,99.85,99.85,99.85,99.85,0,0
12/11/2020,99.865,99.865,99.865,99.865,0,0
12/14/2020,99.855,99.855,99.855,99.855,0,0
12/15/2020,99.845,99.845,99.845,99.845,0,0
12/16/2020,99.845,99.845,99.845,99.845,0,0
12/17/2020,99.845,99.845,99.845,99.845,0,0
12/18/2020,99.85,99.85,99.85,99.85,0,0
12/21/2020,99.85,99.85,99.85,99.85,0,0
12/22/2020,99.85,99.85,99.85,99.85,0,0
12/23/2020,99.85,99.85,99.85,99.85,0,0
12/24/2020,99.855,99.855,99.855,99.855,0,0
12/28/2020,99.85,99.85,99.85,99.85,0,0
12/29/2020,99.85,99.85,99.85,99.85,0,0
12/30/2020,99.85,99.85,99.85,99.85,0,0
12/31/2020,99.86,99.86,99.86,99.86,0,0
1/4/2021,99.87,99.87,99.87,99.87,0,0
1/5/2021,99.87,99.87,99.87,99.87,0,0
1/6/2021,99.855,99.855,99.855,99.855,0,0
1/7/2021,99.845,99.845,99.845,99.845,0,0
1/8/2021,99.85,99.85,99.85,99.85,0,0
1/11/2021,99.85,99.85,99.85,99.85,0,0
1/12/2021,99.84,99.84,99.84,99.84,0,0
1/13/2021,99.84,99.84,99.84,99.84,0,0
1/14/2021,99.85,99.85,99.85,99.85,0,0
1/15/2021,99.84,99.84,99.84,99.84,0,0
1/19/2021,99.85,99.85,99.85,99.85,0,0
1/20/2021,99.86,99.86,99.86,99.86,0,0
1/21/2021,99.85,99.85,99.85,99.85,0,0
1/22/2021,99.85,99.85,99.85,99.85,0,0
1/25/2021,99.855,99.855,99.855,99.855,0,0
1/26/2021,99.855,99.855,99.855,99.855,0,0
1/27/2021,99.855,99.855,99.855,99.855,0,0
1/28/2021,99.845,99.845,99.845,99.845,0,0
1/29/2021,99.855,99.855,99.855,99.855,0,0
2/1/2021,99.86,99.86,99.86,99.86,0,0
2/2/2021,99.855,99.855,99.855,99.855,0,0
2/3/2021,99.85,99.85,99.85,99.85,0,0
2/4/2021,99.835,99.835,99.835,99.835,0,0
2/5/2021,99.83,99.83,99.83,99.83,0,0
2/8/2021,99.825,99.825,99.825,99.825,0,0
2/9/2021,99.825,99.825,99.825,99.825,0,0
2/10/2021,99.83,99.83,99.83,99.83,0,0
2/11/2021,99.835,99.835,99.835,99.835,0,0
2/12/2021,99.795,99.795,99.795,99.795,0,0
2/16/2021,99.775,99.775,99.775,99.775,0,0
2/17/2021,99.785,99.785,99.785,99.785,0,0
2/18/2021,99.785,99.785,99.785,99.785,0,0
2/19/2021,99.76,99.76,99.76,99.76,0,0
2/22/2021,99.76,99.76,99.76,99.76,0,0
2/23/2021,99.765,99.765,99.765,99.765,0,0
2/24/2021,99.765,99.765,99.765,99.765,0,0
2/25/2021,99.705,99.705,99.705,99.705,0,0
2/26/2021,99.705,99.705,99.705,99.705,0,0
3/1/2021,99.715,99.715,99.715,99.715,0,0
3/2/2021,99.72,99.72,99.72,99.72,0,0
3/3/2021,99.705,99.705,99.705,99.705,0,0
3/4/2021,99.695,99.695,99.695,99.695,0,0
3/5/2021,99.69,99.69,99.69,99.69,0,0
3/8/2021,99.675,99.675,99.675,99.675,0,0
3/9/2021,99.675,99.675,99.675,99.675,0,0
3/10/2021,99.69,99.69,99.69,99.69,0,0
3/11/2021,99.695,99.695,99.695,99.695,0,0
3/12/2021,99.685,99.685,99.685,99.685,0,0
3/15/2021,99.685,99.685,99.685,99.685,0,0
3/16/2021,99.69,99.69,99.69,99.69,0,0
3/17/2021,99.7,99.7,99.7,99.7,0,0
3/18/2021,99.685,99.685,99.685,99.685,0,0
3/19/2021,99.685,99.685,99.685,99.685,0,0
3/22/2021,99.68,99.68,99.68,99.68,0,0
3/23/2021,99.68,99.68,99.68,99.68,0,0
3/24/2021,99.685,99.685,99.685,99.685,0,0
3/25/2021,99.69,99.69,99.69,99.69,0,0
3/26/2021,99.68,99.68,99.68,99.68,0,0
3/29/2021,99.67,99.67,99.67,99.67,0,0
3/30/2021,99.64,99.64,99.64,99.64,0,0
3/31/2021,99.62,99.62,99.62,99.62,0,0
4/1/2021,99.62,99.62,99.62,99.62,0,0
4/5/2021,99.53,99.53,99.53,99.53,0,0
4/6/2021,99.56,99.56,99.56,99.56,0,0
4/7/2021,99.605,99.605,99.605,99.605,0,0
4/8/2021,99.615,99.615,99.615,99.615,0,0
4/9/2021,99.61,99.61,99.61,99.61,0,0
4/12/2021,99.6,99.6,99.6,99.6,0,0
4/13/2021,99.615,99.615,99.615,99.615,0,0
4/14/2021,99.605,99.605,99.605,99.605,0,0
4/15/2021,99.635,99.635,99.635,99.635,0,0
4/16/2021,99.62,99.62,99.62,99.62,0,0
4/19/2021,99.625,99.625,99.625,99.625,0,0
4/20/2021,99.64,99.64,99.64,99.64,0,0
4/21/2021,99.61,99.61,99.61,99.61,0,0
4/22/2021,99.61,99.61,99.61,99.61,0,0
4/23/2021,99.61,99.61,99.61,99.61,0,0
4/26/2021,99.595,99.595,99.595,99.595,0,0
4/27/2021,99.585,99.585,99.585,99.585,0,0
4/28/2021,99.595,99.595,99.595,99.595,0,0
4/29/2021,99.595,99.595,99.595,99.595,0,0
4/30/2021,99.595,99.595,99.595,99.595,0,0
5/3/2021,99.61,99.61,99.61,99.61,0,0
5/4/2021,99.61,99.61,99.61,99.61,0,0
5/5/2021,99.61,99.61,99.61,99.61,0,0
5/6/2021,99.625,99.625,99.625,99.625,0,0
5/7/2021,99.665,99.665,99.665,99.665,0,0
5/10/2021,99.665,99.665,99.665,99.665,0,0
5/11/2021,99.65,99.65,99.65,99.65,0,0
5/12/2021,99.615,99.615,99.615,99.615,0,0
5/13/2021,99.625,99.625,99.625,99.625,0,0
5/14/2021,99.625,99.625,99.625,99.625,0,0
5/17/2021,99.625,99.625,99.625,99.625,0,0
5/18/2021,99.625,99.625,99.625,99.625,0,0
5/19/2021,99.61,99.61,99.61,99.61,0,0
5/20/2021,99.62,99.62,99.62,99.62,0,0
5/21/2021,99.625,99.625,99.625,99.625,0,0
5/24/2021,99.62,99.62,99.62,99.62,0,0
5/25/2021,99.645,99.645,99.645,99.645,0,0
5/26/2021,99.635,99.635,99.635,99.635,0,0
5/27/2021,99.625,99.625,99.625,99.625,0,0
5/28/2021,99.625,99.625,99.625,99.625,0,0
6/1/2021,99.605,99.605,99.605,99.605,0,0
6/2/2021,99.615,99.615,99.615,99.615,0,0
6/3/2021,99.6,99.6,99.6,99.6,0,0
6/4/2021,99.625,99.625,99.625,99.625,0,0
6/7/2021,99.62,99.62,99.62,99.62,0,0
6/8/2021,99.625,99.625,99.625,99.625,0,0
6/9/2021,99.635,99.635,99.635,99.635,0,0
6/10/2021,99.64,99.64,99.64,99.64,0,0
6/11/2021,99.625,99.625,99.625,99.625,0,0
6/14/2021,99.615,99.615,99.615,99.615,0,0
6/15/2021,99.61,99.61,99.61,99.61,0,0
6/16/2021,99.555,99.555,99.555,99.555,0,0
6/17/2021,99.51,99.51,99.51,99.51,0,0
6/18/2021,99.465,99.465,99.465,99.465,0,0
6/21/2021,99.47,99.47,99.47,99.47,0,0
6/22/2021,99.48,99.48,99.48,99.48,0,0
6/23/2021,99.445,99.445,99.445,99.445,0,0
6/24/2021,99.42,99.42,99.42,99.42,0,0
6/25/2021,99.415,99.415,99.415,99.415,0,0
6/28/2021,99.425,99.425,99.425,99.425,0,0
6/29/2021,99.425,99.425,99.425,99.425,0,0
6/30/2021,99.42,99.42,99.42,99.42,0,0
7/1/2021,99.41,99.41,99.41,99.41,0,0
7/2/2021,99.45,99.45,99.45,99.45,0,0
7/6/2021,99.475,99.475,99.475,99.475,0,0
7/7/2021,99.495,99.495,99.495,99.495,0,0
7/8/2021,99.535,99.535,99.535,99.535,0,0
7/9/2021,99.505,99.505,99.505,99.505,0,0
7/12/2021,99.49,99.49,99.49,99.49,0,0
7/13/2021,99.435,99.435,99.435,99.435,0,0
7/14/2021,99.475,99.475,99.475,99.475,0,0
7/15/2021,99.48,99.48,99.48,99.48,0,0
7/16/2021,99.48,99.48,99.48,99.48,0,0
7/19/2021,99.54,99.54,99.54,99.54,0,0
7/20/2021,99.58,99.58,99.58,99.58,0,0
7/21/2021,99.55,99.55,99.55,99.55,0,0
7/22/2021,99.555,99.555,99.555,99.555,0,0
7/23/2021,99.56,99.56,99.56,99.56,0,0
7/26/2021,99.555,99.555,99.555,99.555,0,0
7/27/2021,99.57,99.57,99.57,99.57,10,2
7/28/2021,99.535,99.535,99.535,99.535,2,0
7/29/2021,99.56,99.56,99.56,99.56,2,0
7/30/2021,99.58,99.58,99.58,99.58,2,0
8/2/2021,99.605,99.605,99.605,99.605,2,0
8/3/2021,99.62,99.62,99.62,99.62,2,0
8/4/2021,99.595,99.595,99.595,99.595,2,0
8/5/2021,99.56,99.56,99.56,99.56,5,5
8/6/2021,99.52,99.52,99.52,99.52,5,5
8/9/2021,99.51,99.51,99.51,99.51,0,5
8/10/2021,99.47,99.47,99.47,99.47,0,5
8/11/2021,99.495,99.495,99.495,99.495,0,5
8/12/2021,99.48,99.48,99.48,99.48,0,5
8/13/2021,99.49,99.49,99.49,99.49,0,5
8/16/2021,99.515,99.515,99.515,99.515,0,5
8/17/2021,99.5,99.5,99.5,99.5,0,5
8/18/2021,99.5,99.5,99.5,99.5,0,5
8/19/2021,99.505,99.505,99.505,99.505,10,5
8/20/2021,99.5,99.5,99.5,99.5,0,5
8/23/2021,99.495,99.495,99.495,99.495,0,5
8/24/2021,99.485,99.49,99.485,99.49,0,5
8/25/2021,99.485,99.485,99.485,99.485,1,6
8/26/2021,99.48,99.48,99.48,99.48,3,5
